#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_021741.1	28151	28903	-	29906588	-	M495_RS00135	WP_020824656.1	250	hypothetical protein
chr	NC_021741.1	29089	30105	-	29906589	-	M495_RS00140	WP_041415138.1	338	LacI family transcriptional regulator
chr	NC_021741.1	30252	30914	-	29902589	-	M495_RS00145	WP_020824658.1	220	OmpA family lipoprotein
chr	NC_021741.1	31182	31640	-	29905040	-	M495_RS00150	WP_041414078.1	152	N-acetyltransferase
chr	NC_021741.1	31613	32179	-	29904304	-	M495_RS00155	WP_020824660.1	188	DNA-3-methyladenine glycosylase
chr	NC_021741.1	32377	34365	+	29906655	-	M495_RS00160	WP_020824661.1	662	autotransporter domain-containing esterase
chr	NC_021741.1	34384	35724	-	29906657	-	M495_RS00165	WP_020824662.1	446	MFS transporter
chr	NC_021741.1	35986	36900	+	29903152	-	M495_RS00170	WP_020824663.1	304	glycine--tRNA ligase subunit alpha
chr	NC_021741.1	36910	38979	+	29904186	-	M495_RS00175	WP_020824664.1	689	glycine--tRNA ligase subunit beta
chr	NC_021741.1	39018	40022	-	29906389	-	M495_RS00180	WP_041415140.1	334	cell division protein Fic
chr	NC_021741.1	40261	40980	+	29906824	-	M495_RS00185	WP_020824666.1	239	hypothetical protein
chr	NC_021741.1	41514	43433	+	29906826	-	M495_RS00190	WP_020824667.1	639	PTS mannitol transporter subunit IICBA
chr	NC_021741.1	43492	44646	+	29905198	-	M495_RS00195	WP_020824668.1	384	mannitol-1-phosphate 5-dehydrogenase
chr	NC_021741.1	44820	45371	+	29903598	-	M495_RS00200	WP_020824669.1	183	mannitol operon repressor
chr	NC_021741.1	45368	45976	-	29905424	-	M495_RS00205	WP_020824670.1	202	membrane protein
chr	NC_021741.1	46117	47583	+	29905736	-	M495_RS00210	WP_020824671.1	488	GntR family transcriptional regulator
chr	NC_021741.1	47655	48017	+	29906815	-	M495_RS00215	WP_020824672.1	120	hypothetical protein
chr	NC_021741.1	48050	48829	-	29906687	-	M495_RS00220	WP_020824673.1	259	methyltransferase type 11
chr	NC_021741.1	48943	49614	-	29906558	-	M495_RS00225	WP_020824674.1	223	6-N-hydroxylaminopurine resistance protein
chr	NC_021741.1	49706	51634	-	29904003	-	M495_RS00230	WP_020824675.1	642	methyl-accepting chemotaxis protein
chr	NC_021741.1	51759	52379	-	29902331	-	M495_RS00235	WP_041414081.1	206	superoxide dismutase
chr	NC_021741.1	52478	53335	-	29904602	-	M495_RS00240	WP_041414082.1	285	sulfurtransferase FdhD
chr	NC_021741.1	53481	54068	+	29904605	-	M495_RS00245	WP_020824678.1	195	sulfate ABC transporter substrate-binding protein
chr	NC_021741.1	54117	56528	+	29904595	-	M495_RS00250	WP_020824679.1	803	formate dehydrogenase-N subunit alpha
chr	NC_021741.1	56541	57440	+	29903559	-	M495_RS00255	WP_020824680.1	299	formate dehydrogenase subunit beta
chr	NC_021741.1	57437	58072	+	29906615	-	M495_RS00260	WP_013810963.1	211	MULTISPECIES: formate dehydrogenase cytochrome b556 subunit
chr	NC_021741.1	58072	59001	+	29905207	-	M495_RS00265	WP_020824681.1	309	formate dehydrogenase accessory protein FdhE
chr	NC_021741.1	59231	59878	+	29905226	-	M495_RS00270	WP_020824682.1	215	DUF1795 domain-containing protein
chr	NC_021741.1	59912	60517	+	29905012	-	M495_RS00275	WP_020824683.1	201	glutathione S-transferase
chr	NC_021741.1	60584	61975	+	29904142	-	M495_RS00280	WP_020824684.1	463	L-selenocysteinyl-tRNA(Sec) synthase
chr	NC_021741.1	61972	63819	+	29904012	-	M495_RS00285	WP_020824685.1	615	selenocysteine-specific translation factor
chr	NC_021741.1	64271	65518	-	29905902	-	M495_RS00290	WP_041414085.1	415	multidrug transporter MdfA
chr	NC_021741.1	65738	66730	+	29905903	-	M495_RS00295	WP_041414086.1	330	acetyltransferase
chr	NC_021741.1	66725	67648	-	29905693	-	M495_RS00300	WP_020824688.1	307	AraC family transcriptional regulator
chr	NC_021741.1	67651	68202	-	29906174	-	M495_RS00305	WP_020824689.1	183	hydrolase
chr	NC_021741.1	68302	69696	-	29906211	-	M495_RS00310	WP_020824690.1	464	deaminase
chr	NC_021741.1	71339	72658	-	29906190	-	M495_RS00320	WP_020824691.1	439	xylose isomerase
chr	NC_021741.1	73025	74020	+	29906125	-	M495_RS00325	WP_020824692.1	331	xylose ABC transporter substrate-binding protein
chr	NC_021741.1	74050	75591	+	29905160	-	M495_RS00330	WP_020824693.1	513	xylose ABC transporter ATP-binding protein
chr	NC_021741.1	75569	76753	+	29905909	-	M495_RS00335	WP_020824694.1	394	xylose ABC transporter permease
chr	NC_021741.1	77067	78245	+	29906475	-	M495_RS00340	WP_020824695.1	392	XylR family transcriptional regulator
chr	NC_021741.1	78313	78933	+	29906679	-	M495_RS00345	WP_020824696.1	206	DNA polymerase subunit beta
chr	NC_021741.1	78884	79324	+	29906432	-	M495_RS00350	WP_020824697.1	146	hypothetical protein
chr	NC_021741.1	79330	80184	-	29903315	-	M495_RS00355	WP_020824698.1	284	LysR family transcriptional regulator
chr	NC_021741.1	80311	81510	+	29905403	-	M495_RS00360	WP_020824699.1	399	cyanate transporter
chr	NC_021741.1	81587	82933	+	29905804	-	M495_RS00365	WP_020824700.1	448	glycerophosphoryl diester phosphodiesterase
chr	NC_021741.1	83162	83917	+	29906055	-	M495_RS00370	WP_020824701.1	251	hypothetical protein
chr	NC_021741.1	84799	85536	+	29903078	-	M495_RS00375	WP_020824702.1	245	LuxR family transcriptional regulator
chr	NC_021741.1	85600	86187	-	29904444	-	M495_RS00380	WP_020824703.1	195	histidine phosphatase family protein
chr	NC_021741.1	86332	86568	+	29902375	-	M495_RS00385	WP_020824704.1	78	hypothetical protein
chr	NC_021741.1	86605	87027	-	29905937	-	M495_RS00390	WP_020824705.1	140	HIT domain-containing protein
chr	NC_021741.1	87132	88169	-	29904758	-	M495_RS00395	WP_020824706.1	345	LacI family transcriptional regulator
chr	NC_021741.1	88238	88999	-	29906045	-	M495_RS00400	WP_020824707.1	253	3-ketoacyl-CoA reductase
chr	NC_021741.1	89024	90895	-	29906728	-	M495_RS00405	WP_051150502.1	623	C4-dicarboxylate ABC transporter permease
chr	NC_021741.1	90919	91932	-	29904967	-	M495_RS00410	WP_041414090.1	337	C4-dicarboxylate ABC transporter substrate-binding protein
chr	NC_021741.1	91931	92173	+	29904741	-	M495_RS00415	WP_020824710.1	80	hypothetical protein
chr	NC_021741.1	92255	93703	+	29905589	-	M495_RS00420	WP_020824711.1	482	membrane protein
chr	NC_021741.1	93700	94449	-	29906468	-	M495_RS00425	WP_020824712.1	249	epimerase
chr	NC_021741.1	94541	95404	-	29906531	-	M495_RS00430	WP_020824713.1	287	LysR family transcriptional regulator
chr	NC_021741.1	95519	96277	+	29904623	-	M495_RS00435	WP_020824714.1	252	3-oxoacyl-ACP reductase
chr	NC_021741.1	96540	98402	+	29904727	-	M495_RS00440	WP_020824715.1	620	PTS beta-glucoside transporter subunit EIIBCA
chr	NC_021741.1	98417	99820	+	29903396	-	M495_RS00445	WP_020824716.1	467	6-phospho-beta-glucosidase
chr	NC_021741.1	99949	101343	+	29904885	-	M495_RS00450	WP_041414092.1	464	carbohydrate porin
chr	NC_021741.1	101347	101946	-	29902751	-	M495_RS00455	WP_041415142.1	199	GTP pyrophosphokinase
chr	NC_021741.1	102059	102523	+	29906145	-	M495_RS00460	WP_020824719.1	154	MarR family transcriptional regulator
chr	NC_021741.1	102681	103106	+	29904611	-	M495_RS00465	WP_004934114.1	141	MULTISPECIES: OsmC family protein
chr	NC_021741.1	103327	105021	+	29904613	-	M495_RS00470	WP_020824720.1	564	phosphoethanolamine transferase
chr	NC_021741.1	105388	105978	+	29906628	-	M495_RS00475	WP_020824721.1	196	DNA-binding response regulator
chr	NC_021741.1	105978	107513	+	29906725	-	M495_RS00480	WP_020824722.1	511	two-component system sensor histidine kinase UhpB
chr	NC_021741.1	107614	108945	+	29903119	-	M495_RS00485	WP_020824723.1	443	regulatory protein UhpC
chr	NC_021741.1	109196	109552	-	29905381	-	M495_RS00495	WP_020824724.1	118	hypothetical protein
chr	NC_021741.1	109563	109844	-	29904316	-	M495_RS00500	WP_041414093.1	93	hypothetical protein
chr	NC_021741.1	110222	111913	+	29906196	-	M495_RS00505	WP_020824726.1	563	chitinase
chr	NC_021741.1	112515	114122	+	29902852	-	M495_RS00510	WP_020824727.1	535	ABC transporter substrate-binding protein
chr	NC_021741.1	114293	115312	+	29905904	-	M495_RS00515	WP_020824728.1	339	peptide ABC transporter permease
chr	NC_021741.1	115324	116226	+	29905905	-	M495_RS00520	WP_041414095.1	300	peptide transporter
chr	NC_021741.1	116242	117222	+	29905038	-	M495_RS00525	WP_020824730.1	326	dipeptide ABC transporter ATP-binding protein
chr	NC_021741.1	117219	118208	+	29906048	-	M495_RS00530	WP_020824731.1	329	dipeptide ABC transporter ATP-binding protein
chr	NC_021741.1	118693	120345	-	29904337	-	M495_RS00535	WP_020824732.1	550	membrane protein
chr	NC_021741.1	120342	120545	-	29906207	-	M495_RS00540	WP_020824733.1	67	celllulose biosynthesis operon protein BcsF/YhjT
chr	NC_021741.1	120532	122100	-	29906234	-	M495_RS00545	WP_041414097.1	522	cellulose biosynthesis protein BcsE
chr	NC_021741.1	122302	122493	+	29905858	-	M495_RS00550	WP_020824735.1	63	hypothetical protein
chr	NC_021741.1	122497	123234	+	29906419	-	M495_RS00555	WP_041414099.1	245	cell division protein
chr	NC_021741.1	123231	125834	+	29905842	bcsA	M495_RS00560	WP_020824737.1	867	UDP-forming cellulose synthase catalytic subunit
chr	NC_021741.1	125890	128193	+	29906351	-	M495_RS00565	WP_020824738.1	767	cellulose synthase regulator BcsB
chr	NC_021741.1	128199	129311	+	29903920	-	M495_RS00570	WP_020824739.1	370	endoglucanase
chr	NC_021741.1	129293	132766	+	29903264	-	M495_RS00575	WP_041414100.1	1157	cellulose biosynthesis protein BcsC
chr	NC_021741.1	133014	135020	+	29902101	-	M495_RS00580	WP_041414101.1	668	GGDEF domain-containing protein
chr	NC_021741.1	135317	136606	+	29902769	-	M495_RS00585	WP_020824742.1	429	C4-dicarboxylate ABC transporter
chr	NC_021741.1	136886	138379	+	29903193	-	M495_RS00590	WP_020824743.1	497	peptidase M16
chr	NC_021741.1	138407	138688	-	29906397	-	M495_RS00595	WP_041415145.1	93	peptidylprolyl isomerase
chr	NC_021741.1	138798	140822	+	29906312	-	M495_RS00600	WP_020824745.1	674	DNA helicase Rep
chr	NC_021741.1	141003	142499	-	29906671	-	M495_RS00605	WP_020824746.1	498	exopolyphosphatase
chr	NC_021741.1	142506	143792	-	29904344	-	M495_RS00610	WP_020824747.1	428	ATP-dependent RNA helicase RhlB
chr	NC_021741.1	143910	144236	+	29904890	-	M495_RS00615	WP_020824748.1	108	thiol reductase thioredoxin
chr	NC_021741.1	144814	146073	+	29903577	-	M495_RS00620	WP_004950874.1	419	MULTISPECIES: transcription termination factor Rho
chr	NC_021741.1	146404	147486	+	29904396	-	M495_RS00625	WP_020824749.1	360	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
chr	NC_021741.1	147507	148559	+	29905835	-	M495_RS00630	WP_041414104.1	350	polysaccharide chain length modulation protein
chr	NC_021741.1	148644	149774	+	29905834	-	M495_RS00635	WP_020824751.1	376	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
chr	NC_021741.1	149771	151033	+	29902483	-	M495_RS00640	WP_020824752.1	420	UDP-N-acetyl-D-mannosamine dehydrogenase
chr	NC_021741.1	151030	152097	+	29904258	-	M495_RS00645	WP_041415147.1	355	dTDP-glucose 4,6-dehydratase
chr	NC_021741.1	152146	153027	+	29906216	-	M495_RS00650	WP_020824754.1	293	glucose-1-phosphate thymidylyltransferase
chr	NC_021741.1	153005	153736	+	29906110	-	M495_RS00655	WP_020824755.1	243	TDP-fucosamine acetyltransferase
chr	NC_021741.1	153723	154853	+	29904559	-	M495_RS00660	WP_020824756.1	376	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
chr	NC_021741.1	154855	156105	+	29906220	-	M495_RS00665	WP_020824757.1	416	translocase
chr	NC_021741.1	156102	157187	+	29905121	-	M495_RS00670	WP_020824758.1	361	4-alpha-L-fucosyltransferase
chr	NC_021741.1	157184	158560	+	29903856	-	M495_RS00675	WP_020824759.1	458	enterobacterial common antigen polymerase
chr	NC_021741.1	158575	159315	+	29903221	-	M495_RS00680	WP_020824760.1	246	lipopolysaccharide N-acetylmannosaminouronosyltransferase
chr	NC_021741.1	159683	161086	+	29903091	-	M495_RS00685	WP_020824761.1	467	amino acid permease
chr	NC_021741.1	162689	163882	-	29904607	-	M495_RS00710	WP_020824762.1	397	protoheme IX biogenesis protein HemY
chr	NC_021741.1	163886	165010	-	29906161	-	M495_RS00715	WP_020824763.1	374	uroporphyrinogen-III C-methyltransferase
chr	NC_021741.1	165028	165774	-	29902950	-	M495_RS00720	WP_020824764.1	248	uroporphyrinogen-III synthase
chr	NC_021741.1	165771	166712	-	29905554	-	M495_RS00725	WP_020824765.1	313	hydroxymethylbilane synthase
chr	NC_021741.1	167029	169581	+	29904470	-	M495_RS00730	WP_020824766.1	850	adenylate cyclase
chr	NC_021741.1	169631	169951	-	29902960	-	M495_RS00735	WP_020824767.1	106	iron donor protein CyaY
chr	NC_021741.1	170024	170236	+	29905563	-	M495_RS00740	WP_041414106.1	70	lipoprotein
chr	NC_021741.1	170295	171119	+	29902211	-	M495_RS00745	WP_020824769.1	274	diaminopimelate epimerase
chr	NC_021741.1	171116	171820	+	29905860	-	M495_RS00750	WP_020824770.1	234	DUF484 family protein
chr	NC_021741.1	171817	172728	+	29904544	-	M495_RS00755	WP_020824771.1	303	tyrosine recombinase XerC
chr	NC_021741.1	172728	173444	+	29902318	-	M495_RS00760	WP_020824772.1	238	flavin mononucleotide phosphatase
chr	NC_021741.1	173522	175684	+	29905322	-	M495_RS00765	WP_041415149.1	720	DNA-dependent helicase II
chr	NC_021741.1	175741	176220	-	29906151	-	M495_RS00770	WP_020824774.1	159	protein WbuC
chr	NC_021741.1	176300	176494	-	30329051	-	M495_RS24730	WP_071827078.1	64	hypothetical protein
chr	NC_021741.1	176666	177616	+	29905659	-	M495_RS00775	WP_020824775.1	316	magnesium transporter CorA
chr	NC_021741.1	177728	178786	+	29905199	-	M495_RS00780	WP_041414108.1	352	AbrB family transcriptional regulator
chr	NC_021741.1	178794	179681	-	29904778	-	M495_RS00785	WP_020824777.1	295	chloramphenicol resistance permease RarD
chr	NC_021741.1	179746	180216	-	29904618	-	M495_RS00790	WP_020824778.1	156	hypothetical protein
chr	NC_021741.1	180418	181296	+	29905866	-	M495_RS00795	WP_020824779.1	292	phospholipase A
chr	NC_021741.1	181345	183177	+	29903196	-	M495_RS00800	WP_020824780.1	610	DNA helicase RecQ
chr	NC_021741.1	183190	183816	+	29904015	-	M495_RS00805	WP_020824781.1	208	threonine export protein RhtC
chr	NC_021741.1	183868	184488	-	29905065	rhtB	M495_RS00810	WP_020824782.1	206	homoserine/homoserine lactone efflux protein
chr	NC_021741.1	184624	185661	+	29904492	-	M495_RS00815	WP_020824783.1	345	lysophospholipase L2
chr	NC_021741.1	185673	186473	+	29904401	-	M495_RS00820	WP_020824784.1	266	sugar/pyridoxal phosphate phosphatase YigL
chr	NC_021741.1	186509	187588	-	29902815	-	M495_RS00825	WP_020824785.1	359	glycerophosphoryl diester phosphodiesterase
chr	NC_021741.1	187822	189177	-	29906058	-	M495_RS00830	WP_020824786.1	451	MFS transporter
chr	NC_021741.1	189189	189386	+	30329052	-	M495_RS24735	WP_071827079.1	65	hypothetical protein
chr	NC_021741.1	189543	191186	+	29904374	-	M495_RS00835	WP_020824787.1	547	FAD/NAD(P)-binding oxidoreductase
chr	NC_021741.1	191176	192447	+	29903163	-	M495_RS00840	WP_020824788.1	423	anaerobic glycerol-3-phosphate dehydrogenase subunit B
chr	NC_021741.1	192444	193643	+	29903430	-	M495_RS00845	WP_020824789.1	399	sn-glycerol-3-phosphate dehydrogenase subunit C
chr	NC_021741.1	193690	194253	-	29904550	-	M495_RS00850	WP_020824790.1	187	protein dcrB
chr	NC_021741.1	194334	194768	-	29902480	-	M495_RS00855	WP_020824791.1	144	N-acetyltransferase
chr	NC_021741.1	194809	195474	-	29906314	-	M495_RS00860	WP_020824792.1	221	hypothetical protein
chr	NC_021741.1	195695	195946	+	29903565	-	M495_RS00865	WP_020824793.1	83	sulfurtransferase TusA
chr	NC_021741.1	195960	197081	-	29903312	-	M495_RS00870	WP_020824794.1	373	hypothetical protein
chr	NC_021741.1	197081	198217	-	29904736	-	M495_RS00875	WP_020824795.1	378	membrane protein
chr	NC_021741.1	198217	199284	-	29904718	-	M495_RS00880	WP_020824796.1	355	hypothetical protein
chr	NC_021741.1	199459	201774	-	29903099	zntA	M495_RS00885	WP_020824797.1	771	zinc/cadmium/mercury/lead-transporting ATPase
chr	NC_021741.1	202438	203901	+	29902361	-	M495_RS00890	WP_020824798.1	487	serine 3-dehydrogenase
chr	NC_021741.1	203957	204334	+	29902140	-	M495_RS00895	WP_020824799.1	125	alkaline proteinase inhibitor
chr	NC_021741.1	204374	205000	-	29902991	-	M495_RS00900	WP_020824800.1	208	lysoplasmalogenase
chr	NC_021741.1	205407	205958	+	29903629	-	M495_RS00905	WP_041415151.1	183	integrase
chr	NC_021741.1	206057	206809	-	29902806	-	M495_RS24630	WP_020824802.1	250	hypothetical protein
chr	NC_021741.1	207100	207480	-	29904782	-	M495_RS00915	WP_020824804.1	126	hypothetical protein
chr	NC_021741.1	208116	208673	-	29904838	-	M495_RS00920	WP_041414112.1	185	hypothetical protein
chr	NC_021741.1	208820	209125	+	29902799	-	M495_RS00925	WP_020824806.1	101	hypothetical protein
chr	NC_021741.1	209149	209835	+	29902763	-	M495_RS00930	WP_020824807.1	228	hypothetical protein
chr	NC_021741.1	210449	211114	+	29905129	-	M495_RS00935	WP_020824809.1	221	helix-turn-helix transcriptional regulator
chr	NC_021741.1	211251	211607	+	29904772	-	M495_RS00940	WP_020824810.1	118	membrane protein
chr	NC_021741.1	211635	211907	-	29903133	-	M495_RS00945	WP_006317223.1	90	MULTISPECIES: membrane protein
chr	NC_021741.1	211897	212517	-	29904635	rsmD	M495_RS00950	WP_020824811.1	206	16S rRNA (guanine(966)-N(2))-methyltransferase
chr	NC_021741.1	212738	214357	+	29904540	-	M495_RS00955	WP_020824812.1	539	signal recognition particle-docking protein FtsY
chr	NC_021741.1	214363	215034	+	29902510	-	M495_RS00960	WP_020824813.1	223	cell division protein FtsE
chr	NC_021741.1	215024	215977	+	29906828	-	M495_RS00965	WP_020824814.1	317	cell division protein FtsX
chr	NC_021741.1	216293	217150	+	29905362	-	M495_RS00970	WP_020824815.1	285	MULTISPECIES: RNA polymerase sigma factor RpoH
chr	NC_021741.1	217210	219291	-	29905046	-	M495_RS00975	WP_020824816.1	693	hypothetical protein
chr	NC_021741.1	219278	220495	-	29903718	-	M495_RS00980	WP_020824817.1	405	hypothetical protein
chr	NC_021741.1	220492	220884	-	29902476	-	M495_RS00985	WP_020824818.1	130	acetyltransferase
chr	NC_021741.1	221291	222406	+	29905912	-	M495_RS00990	WP_020824819.1	371	branched chain amino acid ABC transporter substrate-binding protein
chr	NC_021741.1	222690	223616	+	29903456	-	M495_RS00995	WP_020824820.1	308	branched-chain amino acid ABC transporter permease LivH
chr	NC_021741.1	223613	224896	+	29903521	-	M495_RS01000	WP_020824821.1	427	branched-chain amino acid ABC transporter permease
chr	NC_021741.1	224893	225660	+	29902613	-	M495_RS01005	WP_020824822.1	255	ABC transporter ATP-binding protein
chr	NC_021741.1	225664	226365	+	29904519	livF	M495_RS01010	WP_020824823.1	233	ABC transporter ATP-binding protein
chr	NC_021741.1	226471	227658	+	29904585	-	M495_RS01015	WP_020824824.1	395	GntR family transcriptional regulator
chr	NC_021741.1	227972	229291	+	29904465	-	M495_RS01020	WP_020824825.1	439	sn-glycerol-3-phosphate ABC transporter substrate-binding protein
chr	NC_021741.1	229454	230341	+	29906032	-	M495_RS01025	WP_041415156.1	295	glycerol-3-phosphate transporter permease
chr	NC_021741.1	230338	231183	+	29905402	-	M495_RS01030	WP_020824827.1	281	glycerol-3-phosphate transporter membrane protein
chr	NC_021741.1	232272	233018	+	29906562	-	M495_RS01040	WP_020824828.1	248	glycerophosphoryl diester phosphodiesterase
chr	NC_021741.1	233124	234080	+	29904656	-	M495_RS01045	WP_020824829.1	318	membrane protein
chr	NC_021741.1	234061	234390	-	29902932	-	M495_RS01050	WP_020824830.1	109	hypothetical protein
chr	NC_021741.1	234541	235404	+	29904526	-	M495_RS01055	WP_020824831.1	287	membrane protein
chr	NC_021741.1	235437	236387	-	29906818	-	M495_RS01060	WP_020824832.1	316	LysR family transcriptional regulator
chr	NC_021741.1	236478	238769	+	29901986	-	M495_RS01065	WP_071846546.1	763	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
chr	NC_021741.1	238862	239698	-	29902980	-	M495_RS01070	WP_020824834.1	278	carboxymethylenebutenolidase
chr	NC_021741.1	240211	240972	+	29905447	-	M495_RS01075	WP_020824835.1	253	uridine phosphorylase
chr	NC_021741.1	241144	241926	+	29903910	-	M495_RS01080	WP_020824836.1	260	C4-dicarboxylate ABC transporter
chr	NC_021741.1	242014	242544	+	29902539	-	M495_RS01085	WP_020824837.1	176	cytochrome o ubiquinol oxidase
chr	NC_021741.1	242685	244232	+	29903180	-	M495_RS01090	WP_020824838.1	515	DNA recombination protein RmuC
chr	NC_021741.1	244312	245067	+	29904141	-	M495_RS01095	WP_020824839.1	251	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase
chr	NC_021741.1	245081	245689	+	29906408	-	M495_RS01100	WP_020824840.1	202	SCP2 domain-containing protein
chr	NC_021741.1	245686	247317	+	29905033	ubiB	M495_RS01105	WP_020824841.1	543	ubiquinone biosynthesis regulatory protein kinase UbiB
chr	NC_021741.1	247398	247661	+	29902124	-	M495_RS01110	WP_020824842.1	87	protein translocase TatA
chr	NC_021741.1	247665	248231	+	29905853	-	M495_RS01115	WP_020824843.1	188	sec-independent translocase
chr	NC_021741.1	248235	249005	+	29905727	-	M495_RS01120	WP_020824844.1	256	preprotein translocase subunit TatC
chr	NC_021741.1	249056	249838	+	29906205	-	M495_RS01125	WP_041415158.1	260	DNase TatD
chr	NC_021741.1	249853	250875	+	29904000	-	M495_RS01130	WP_020824846.1	340	porphobilinogen synthase
chr	NC_021741.1	250921	251409	-	29903005	-	M495_RS01135	WP_020824847.1	162	transcriptional activator RfaH
chr	NC_021741.1	251654	252379	+	29902104	-	M495_RS01140	WP_020824848.1	241	dipeptidase E
chr	NC_021741.1	252443	253963	+	29906130	-	M495_RS01145	WP_020824849.1	506	3-octaprenyl-4-hydroxybenzoate decarboxylase
chr	NC_021741.1	254138	254839	+	29904035	-	M495_RS01150	WP_020824850.1	233	NAD(P)H-flavin reductase
chr	NC_021741.1	255008	256171	-	29904999	fadA	M495_RS01155	WP_020824851.1	387	acetyl-CoA C-acyltransferase FadA
chr	NC_021741.1	256182	258371	-	29903754	-	M495_RS01160	WP_020824852.1	729	multifunctional fatty acid oxidation complex subunit alpha
chr	NC_021741.1	258605	259801	+	29902462	-	M495_RS01165	WP_041414122.1	398	MFS transporter
chr	NC_021741.1	259919	261250	+	29904760	-	M495_RS01170	WP_020824854.1	443	Xaa-Pro dipeptidase
chr	NC_021741.1	261250	261864	+	29904292	-	M495_RS01175	WP_020824855.1	204	YigZ family protein
chr	NC_021741.1	261900	263351	+	29904285	-	M495_RS01180	WP_020824856.1	483	potassium transporter
chr	NC_021741.1	263374	263907	+	29905075	-	M495_RS01185	WP_020824857.1	177	protoporphyrinogen oxidase
chr	NC_021741.1	269676	271328	-	29902278	-	M495_RS01210	WP_020824858.1	550	cation acetate symporter
chr	NC_021741.1	271325	271636	-	29906245	-	M495_RS01215	WP_020824859.1	103	membrane protein
chr	NC_021741.1	271729	273687	-	29906501	-	M495_RS01220	WP_020824860.1	652	acetyl-coenzyme A synthetase
chr	NC_021741.1	274521	275837	+	29905532	-	M495_RS01225	WP_041414125.1	438	glutamate/aspartate:proton symporter GltP
chr	NC_021741.1	275909	276658	-	29904932	-	M495_RS01230	WP_041414127.1	249	lipoprotein
chr	NC_021741.1	276869	277492	+	29903840	-	M495_RS01235	WP_020824863.1	207	hypothetical protein
chr	NC_021741.1	277572	278318	+	29902329	-	M495_RS01240	WP_041415160.1	248	anion permease
